Subject,Proportion_1s,Proportion_2s,Shannon_Entropy,RunsTest_p,ACF_Lag1,ACF_Lag2,ACF_Lag3,ACF_Lag4,ACF_Lag5,ACF_Lag6,ACF_Lag7,ACF_Lag8,ACF_Lag9,ACF_Lag10
sub-043,0.48333333333333334,0.5166666666666666,0.9991983542636399,0.20315073599592404,0.1073322209862811,-0.13516870596959585,-0.010595105672969953,0.03110863922877273,0.09005376344086025,-0.06846496106785317,-0.0935020393029292,0.01494252873563222,0.19012791991101233,0.015480163144234341
sub-044,0.5166666666666667,0.4833333333333333,0.9991983542636397,0.5735082006873394,-0.05951983685576567,0.11566555431961444,0.07449944382647387,-0.10126065999258435,-0.07679829440118649,-0.001724137931034445,0.0066091954022988566,0.14842417500926958,-0.010094549499443817,0.01548016314423436
sub-045,0.4666666666666667,0.5333333333333333,0.9967916319816367,0.6146813058503109,0.0373511904761904,0.04568452380952378,-0.012946428571428609,0.08020833333333331,-0.04538690476190482,-0.003571428571428598,-0.09568452380952384,0.11354166666666661,-0.1125,0.09672619047619051
sub-046,0.5166666666666667,0.4833333333333333,0.9991983542636397,0.5902879817214173,0.04059139784946241,-0.017816091954022933,-0.07622358175750835,-0.03451983685576562,0.007183908045977021,-0.1674638487208009,-0.025648869113830196,0.01605487578791249,-0.008982202447163537,-0.06738969225064884
sub-047,0.43333333333333335,0.5666666666666667,0.9871377743721862,0.44772132487020955,-0.07763951734539969,-0.08401206636500753,-0.05644796380090499,0.05369532428355957,-0.03978129713423833,0.12352941176470586,0.015346907993966817,-0.010256410256410269,-0.05056561085972851,0.05957767722473602
sub-048,0.44166666666666665,0.5583333333333333,0.9901592635041825,0.4780078640737574,-0.07305219187083449,0.08537970524734813,-0.15776541819205858,0.01953440345442595,-0.10730545386276168,-0.09897212052942832,-0.03797756500516288,0.15424762977565,-0.04017882286679808,0.10332770111705622
sub-049,0.5916666666666667,0.4083333333333333,0.9756170302212049,0.84700447004959,-0.026446775893455975,0.050871898054996666,0.14227507904570283,-0.021854939158762104,0.04137922774743702,-0.19173613107214726,-0.11441745712369458,-0.08567596052505512,-0.09142713423397532,-0.20065631886557453
sub-050,0.575,0.42500000000000004,0.9837082626231858,0.7569070043429305,0.0194160272804774,0.1300511508951406,0.03608269394714406,0.23452685421994876,0.07235720375106562,0.08069053708439897,0.06941602728047741,-0.004944586530264286,0.07158994032395563,0.18222506393861887
sub-051,0.5333333333333333,0.4666666666666667,0.9967916319816367,0.9608296895286887,-0.011755952380952412,0.014434523809523795,0.10535714285714283,0.08020833333333333,0.021577380952380924,-0.08616071428571428,0.03824404761904758,0.062202380952380926,-0.012053571428571467,0.01190476190476188
sub-052,0.43333333333333335,0.5666666666666667,0.9871377743721862,0.3441931199475623,-0.09234539969834088,-0.0840120663650075,0.026131221719457004,-0.0187028657616893,0.07673453996983404,-0.0506787330316742,0.010822021116138756,-0.014781297134238319,0.008257918552036177,0.06975867269984912
sub-053,0.48333333333333334,0.5166666666666666,0.9991983542636399,0.8447756036162488,-0.026149425287356295,0.06505376344086027,0.056145717463848735,-0.05287356321839076,-0.061781609195402286,-0.10294771968854283,-0.02787356321839078,-0.035669262143122,-0.06070634037819795,-0.08574341861327398
sub-054,0.6083333333333333,0.3916666666666667,0.9658666887161002,0.9718533711221089,-0.005948217235014084,-0.011313514038667035,0.053271640921014315,-0.14824638103565532,0.021264451569027516,0.12082483241037598,0.12915816574370936,-0.03738463033129311,0.027200524628388244,0.01425726221704069
sub-055,0.48333333333333334,0.5166666666666666,0.9991983542636399,0.20315073599592404,0.10733222098628109,0.06505376344086025,0.056145717463848735,0.013867259918427908,-0.011169818316648102,-0.0028364849833147745,-0.061243974786800146,0.013830181683351888,0.10503337041156845,0.013255469039673739
sub-056,0.49166666666666664,0.5083333333333333,0.999799616411146,0.14149757295687396,-0.1422640548300453,-0.0005603408354172183,0.024722145040289006,-0.15060664999536902,0.07417569695285728,-0.06781050291747702,-0.10921320737241821,-0.050588126331388296,0.024430397332592415,-0.03392145966472163
sub-057,0.6,0.4,0.9709505944546688,0.3022189640857168,-0.1027777777777778,-0.03888888888888892,0.03888888888888886,-0.04305555555555559,0.020833333333333304,-0.12361111111111112,-0.011111111111111124,0.17083333333333334,-0.0638888888888889,-0.034722222222222245
sub-058,0.5416666666666666,0.45833333333333337,0.99498482818597,0.9386768263089119,-0.014044289044289034,-0.10641025641025643,-0.1316433566433567,-0.05617715617715617,0.16893939393939394,0.061188811188811205,-0.046561771561771576,0.0289044289044289,0.07080419580419582,0.012004662004662029
sub-059,0.44166666666666665,0.5583333333333333,0.9901592635041825,0.554001290551795,0.04719562564535811,-0.045850934009199304,-0.022592227541537613,-0.11563878719609501,-0.005925560874870933,-0.11784004505773021,-0.056845489533464764,-0.014718858537501187,0.012482399324134029,0.02081573265746734
sub-060,0.5,0.5,1.0,0.5822929538375821,0.041666666666666664,0.0,-0.025,0.15,0.025,0.03333333333333333,-0.008333333333333333,-0.03333333333333333,-0.125,-0.03333333333333333
sub-061,0.44166666666666665,0.5583333333333333,0.9901592635041825,0.7355783406501135,-0.03925889420820426,0.11917300290997843,-0.19550126724866235,0.08317844738571292,0.008999812259457392,-0.016460152069839525,-0.14330000938702717,0.0002065145968271721,0.057258518727119095,-0.0019947432648080555
sub-062,0.5583333333333333,0.44166666666666665,0.9901592635041825,0.37056892363298033,-0.09192011639913644,-0.016000187740542578,-0.07525344973246977,-0.08578804092743829,0.057718483056416026,-0.0353280765981414,0.025666478926124073,-0.05245470759410497,-0.02525344973246974,0.016873181263493842
